date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:01	80721/80721	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213b51-6740ba6f-aadec730b63e0fc7;gz%22	https://getupi.in.net/assets_home/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/gateway/getupi.in.net/assets_home/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://getupi.in.net/)
13:30:01	56300/56300	---M-Z	200	added ('OK')	application/x-javascript	etag:%22dbec-6740ba6f-8c0d8ca4a5db38b2;gz%22	https://getupi.in.net/assets_home/vendor/glightbox/js/glightbox.min.js	C:/My%20Web%20Sites/gateway/getupi.in.net/assets_home/vendor/glightbox/js/glightbox.min.js	(from https://getupi.in.net/)
13:30:02	149982/149982	---M-Z	200	added ('OK')	application/x-javascript	etag:%22249de-6740ba6f-94f977fb1c424028;gz%22	https://getupi.in.net/assets_home/vendor/swiper/swiper-bundle.min.js	C:/My%20Web%20Sites/gateway/getupi.in.net/assets_home/vendor/swiper/swiper-bundle.min.js	(from https://getupi.in.net/)
13:30:02	2734/2734	---M-Z	200	added ('OK')	application/x-javascript	etag:%22aae-6740ba6f-ca8adfbec20c42;gz%22	https://getupi.in.net/assets_home/vendor/php-email-form/validate.js	C:/My%20Web%20Sites/gateway/getupi.in.net/assets_home/vendor/php-email-form/validate.js	(from https://getupi.in.net/)
13:30:02	5681/5681	---M-Z	200	added ('OK')	application/x-javascript	etag:%221631-6740ba6f-54db492808e1baf5;gz%22	https://getupi.in.net/assets_home/js/main.js	C:/My%20Web%20Sites/gateway/getupi.in.net/assets_home/js/main.js	(from https://getupi.in.net/)
13:30:04	22151/22151	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Jan%202023%2019:41:46%20GMT	https://pay.imb.org.in/Qrcode/disable-devtool.js	C:/My%20Web%20Sites/gateway/pay.imb.org.in/Qrcode/disable-devtool.18.delayed	(from https://getupi.in.net/)
13:30:04	130396/130396	---M--	200	added ('OK')	font/woff2	etag:%221fd5c-6740ba6f-1ecaaf393db1089d;;;%22	https://getupi.in.net/assets_home/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6	C:/My%20Web%20Sites/gateway/getupi.in.net/assets_home/vendor/bootstrap-icons/fonts/bootstrap-icons0107.woff2	(from https://getupi.in.net/assets_home/vendor/bootstrap-icons/bootstrap-icons.css)
13:30:05	176032/176032	---M--	200	added ('OK')	application/font-woff	etag:%222afa0-6740ba6f-6a140f47069c2586;;;%22	https://getupi.in.net/assets_home/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?dd67030699838ea613ee6dbda90effa6	C:/My%20Web%20Sites/gateway/getupi.in.net/assets_home/vendor/bootstrap-icons/fonts/bootstrap-icons0107.woff	(from https://getupi.in.net/assets_home/vendor/bootstrap-icons/bootstrap-icons.css)
13:30:05	405670/405670	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22630a6-6740ba6f-dd89c2440552d665;gz%22	https://getupi.in.net/assets_home/vendor/boxicons/fonts/boxicons.eot	C:/My%20Web%20Sites/gateway/getupi.in.net/assets_home/vendor/boxicons/fonts/boxicons.eot	(from https://getupi.in.net/assets_home/vendor/boxicons/css/boxicons.min.css)
13:30:06	321020/321020	---M--	200	added ('OK')	application/font-woff	etag:%224e5fc-6740ba6f-b2f13d5e8ab6e25b;;;%22	https://getupi.in.net/assets_home/vendor/boxicons/fonts/boxicons.woff	C:/My%20Web%20Sites/gateway/getupi.in.net/assets_home/vendor/boxicons/fonts/boxicons.woff	(from https://getupi.in.net/assets_home/vendor/boxicons/css/boxicons.min.css)
13:30:06	115680/115680	---M--	200	added ('OK')	font/woff2	etag:%221c3e0-6740ba6f-7155069001dbec5b;;;%22	https://getupi.in.net/assets_home/vendor/boxicons/fonts/boxicons.woff2	C:/My%20Web%20Sites/gateway/getupi.in.net/assets_home/vendor/boxicons/fonts/boxicons.woff2	(from https://getupi.in.net/assets_home/vendor/boxicons/css/boxicons.min.css)
13:30:06	320944/320944	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%224e5b0-6740ba6f-9b088ec2c074222e;gz%22	https://getupi.in.net/assets_home/vendor/boxicons/fonts/boxicons.ttf	C:/My%20Web%20Sites/gateway/getupi.in.net/assets_home/vendor/boxicons/fonts/boxicons.ttf	(from https://getupi.in.net/assets_home/vendor/boxicons/css/boxicons.min.css)
13:30:06	1242122/1242122	---MCZ	200	added ('OK')	image/svg+xml	etag:%2212f40a-6740ba6f-311be280074dacd7;gz%22	https://getupi.in.net/assets_home/vendor/boxicons/fonts/boxicons.svg?	C:/My%20Web%20Sites/gateway/getupi.in.net/assets_home/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://getupi.in.net/assets_home/vendor/boxicons/css/boxicons.min.css)
13:30:07	33533/33533	---M--	200	added ('OK')	image/png	etag:%2282fd-64b14cdf-4a3a89d841130a0b;;;%22	https://smartupi.in/auth/assets/img/SmartUPI-Small-Logo.png	C:/My%20Web%20Sites/gateway/smartupi.in/auth/assets/img/SmartUPI-Small-Logo.png	(from https://getupi.in.net/terms_conditions.php)
13:30:08	351795/351795	---M-Z	200	added ('OK')	text/css	etag:%2255e33-64b14cdf-9909c9bb34118107;gz%22	https://smartupi.in/home/assets/css/theme.css	C:/My%20Web%20Sites/gateway/smartupi.in/home/assets/css/theme.css	(from https://getupi.in.net/terms_conditions.php)
13:30:08	9855/9855	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2021:30:03%20GMT	https://getupi.in.net/index	C:/My%20Web%20Sites/gateway/getupi.in.net/index-2.html	(from https://getupi.in.net/terms_conditions.php)
13:30:08	46607/46607	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2021:30:03%20GMT	https://getupi.in.net/terms_conditions	C:/My%20Web%20Sites/gateway/getupi.in.net/terms_conditions-2.html	(from https://getupi.in.net/terms_conditions.php)
13:30:09	17615/17615	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2021:30:03%20GMT	https://getupi.in.net/privacy_policy	C:/My%20Web%20Sites/gateway/getupi.in.net/privacy_policy-2.html	(from https://getupi.in.net/terms_conditions.php)
13:30:09	10988/10988	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2021:30:03%20GMT	https://getupi.in.net/refund_policy	C:/My%20Web%20Sites/gateway/getupi.in.net/refund_policy-2.html	(from https://getupi.in.net/terms_conditions.php)
13:30:09	10455/10455	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2021:30:04%20GMT	https://getupi.in.net/account_access_policy	C:/My%20Web%20Sites/gateway/getupi.in.net/account_access_policy-2.html	(from https://getupi.in.net/terms_conditions.php)
13:30:09	18594/18594	---M-Z	200	added ('OK')	application/x-javascript	etag:%2248a2-64b14cdf-b7ffc8c1cee4bbe2;gz%22	https://smartupi.in/home/vendors/@popperjs/popper.min.js	C:/My%20Web%20Sites/gateway/smartupi.in/home/vendors/@popperjs/popper.min.js	(from https://getupi.in.net/terms_conditions.php)
13:30:10	60091/60091	---M-Z	200	added ('OK')	application/x-javascript	etag:%22eabb-64b14cdf-2753d5f250bb3a0d;gz%22	https://smartupi.in/home/vendors/bootstrap/bootstrap.min.js	C:/My%20Web%20Sites/gateway/smartupi.in/home/vendors/bootstrap/bootstrap.min.js	(from https://getupi.in.net/terms_conditions.php)
13:30:10	13181/13181	---M-Z	200	added ('OK')	application/x-javascript	etag:%22337d-64b14cdf-723cc612648a198d;gz%22	https://smartupi.in/home/vendors/is/is.min.js	C:/My%20Web%20Sites/gateway/smartupi.in/home/vendors/is/is.min.js	(from https://getupi.in.net/terms_conditions.php)
13:30:10	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-656fa476-9348a0320e44ac66;gz%22	https://smartupi.in/https://polyfill.io/v3/polyfill.min.js?features=window.scroll	C:/My%20Web%20Sites/gateway/smartupi.in/https_/polyfill.io/v3/polyfill.min58be.js	(from https://getupi.in.net/terms_conditions.php)
13:30:11	13362/13362	---M-Z	200	added ('OK')	application/x-javascript	etag:%223432-64b14cdf-82e48554e5eb37aa;gz%22	https://smartupi.in/home/assets/js/theme.js	C:/My%20Web%20Sites/gateway/smartupi.in/home/assets/js/theme.js	(from https://getupi.in.net/terms_conditions.php)
13:30:11	1260/1260	---M-Z	200	added ('OK')	application/x-javascript	etag:%224ec-6740ba70-cf321890c42a8342;gz%22	https://getupi.in.net/assets/js/vendors/color-modes.js	C:/My%20Web%20Sites/gateway/getupi.in.net/assets/js/vendors/color-modes.js	(from https://getupi.in.net/auth/index)
13:30:11	1195450/1195450	---MCZ	200	added ('OK')	application/x-javascript	etag:%22123dba-64b14cdf-c9d067af0cb5ee08;gz%22	https://smartupi.in/home/vendors/fontawesome/all.min.js	C:/My%20Web%20Sites/gateway/smartupi.in/home/vendors/fontawesome/all.min.js	(from https://getupi.in.net/terms_conditions.php)
13:30:12	85883/85883	---M-Z	200	added ('OK')	text/css	etag:%2214f7b-6740ba70-3387329d84e1221f;gz%22	https://getupi.in.net/assets/libs/bootstrap-icons/font/bootstrap-icons.min.css	C:/My%20Web%20Sites/gateway/getupi.in.net/assets/libs/bootstrap-icons/font/bootstrap-icons.min.css	(from https://getupi.in.net/auth/index)
13:30:12	342869/342869	---M-Z	200	added ('OK')	text/css	etag:%2253b55-6740ba70-f49def4edf368e60;gz%22	https://getupi.in.net/assets/libs/%40mdi/font/css/materialdesignicons.min.css	C:/My%20Web%20Sites/gateway/getupi.in.net/assets/libs/@mdi/font/css/materialdesignicons.min.css	(from https://getupi.in.net/auth/index)
13:30:12	3269/3269	---M-Z	200	added ('OK')	text/css	etag:%22cc5-6740ba70-187f918fd6e42c14;gz%22	https://getupi.in.net/assets/libs/simplebar/dist/simplebar.min.css	C:/My%20Web%20Sites/gateway/getupi.in.net/assets/libs/simplebar/dist/simplebar.min.css	(from https://getupi.in.net/auth/index)
13:30:12	522934/522934	---M-Z	200	added ('OK')	text/css	etag:%227fab6-6740ba70-2404ecc7f521e145;gz%22	https://getupi.in.net/assets/css/theme.min.css	C:/My%20Web%20Sites/gateway/getupi.in.net/assets/css/theme.min.css	(from https://getupi.in.net/auth/index)
13:30:12	5254/5254	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2021:30:07%20GMT	https://getupi.in.net/auth/forget-password.php	C:/My%20Web%20Sites/gateway/getupi.in.net/auth/forget-password.html	(from https://getupi.in.net/auth/index)
13:30:13	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-64cd6cea77038200;gz%22	https://getupi.in.net/auth/your-audio-file.mp3	C:/My%20Web%20Sites/gateway/getupi.in.net/auth/your-audio-file.mp3	(from https://getupi.in.net/auth/index)
13:30:13	80721/80721	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213b51-6740ba70-e192635aad2faeab;gz%22	https://getupi.in.net/assets/libs/bootstrap/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/gateway/getupi.in.net/assets/libs/bootstrap/dist/js/bootstrap.bundle.min.js	(from https://getupi.in.net/auth/index)
13:30:13	75965/75965	---M-Z	200	added ('OK')	application/x-javascript	etag:%22128bd-6740ba70-3f21a5ee745e4b45;gz%22	https://getupi.in.net/assets/libs/feather-icons/dist/feather.min.js	C:/My%20Web%20Sites/gateway/getupi.in.net/assets/libs/feather-icons/dist/feather.min.js	(from https://getupi.in.net/auth/index)
13:30:13	27057/27057	---M-Z	200	added ('OK')	application/x-javascript	etag:%2269b1-6740ba70-5796ba8f4e9b8657;gz%22	https://getupi.in.net/assets/libs/simplebar/dist/simplebar.min.js	C:/My%20Web%20Sites/gateway/getupi.in.net/assets/libs/simplebar/dist/simplebar.min.js	(from https://getupi.in.net/auth/index)
13:30:14	3915/3915	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f4b-6740ba70-3ac3da113fa9832a;gz%22	https://getupi.in.net/assets/js/theme.min.js	C:/My%20Web%20Sites/gateway/getupi.in.net/assets/js/theme.min.js	(from https://getupi.in.net/auth/index)
13:30:14	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-64cd6cea77038200;gz%22	https://getupi.in.net/e	C:/My%20Web%20Sites/gateway/getupi.in.net/e	(from https://getupi.in.net/assets_home/vendor/swiper/swiper-bundle.min.js)
13:30:15	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-64cd6cea77038200;gz%22	https://getupi.in.net/Version/	C:/My%20Web%20Sites/gateway/getupi.in.net/Version/index.html	(from https://getupi.in.net/assets_home/vendor/swiper/swiper-bundle.min.js)
13:30:15	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-64cd6cea77038200;gz%22	https://getupi.in.net/t.params.url	C:/My%20Web%20Sites/gateway/getupi.in.net/t.params.39.delayed	(from https://getupi.in.net/assets_home/vendor/swiper/swiper-bundle.min.js)
13:30:17	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-64cd6cea77038200;gz%22	https://getupi.in.net/Trident/	C:/My%20Web%20Sites/gateway/getupi.in.net/Trident/index.html	(from https://smartupi.in/home/vendors/fontawesome/all.min.js)
13:30:18	130648/130648	---M--	200	added ('OK')	font/woff2	etag:%221fe58-6740ba70-4103a73bd205c9cc;;;%22	https://getupi.in.net/assets/libs/bootstrap-icons/font/fonts/bootstrap-icons09cf.woff2?7141511ac37f13e1a387fb9fc6646256	C:/My%20Web%20Sites/gateway/getupi.in.net/assets/libs/bootstrap-icons/font/fonts/bootstrap-icons09cf09cf.woff2	(from https://getupi.in.net/assets/libs/bootstrap-icons/font/bootstrap-icons.min.css)
13:30:18	176088/176088	---M--	200	added ('OK')	application/font-woff	etag:%222afd8-6740ba70-4976b0fb93eface6;;;%22	https://getupi.in.net/assets/libs/bootstrap-icons/font/fonts/bootstrap-icons09cf.woff?7141511ac37f13e1a387fb9fc6646256	C:/My%20Web%20Sites/gateway/getupi.in.net/assets/libs/bootstrap-icons/font/fonts/bootstrap-icons09cf09cf.woff	(from https://getupi.in.net/assets/libs/bootstrap-icons/font/bootstrap-icons.min.css)
13:30:18	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-64cd6cea77038200;gz%22	https://getupi.in.net/auth/node.js	C:/My%20Web%20Sites/gateway/getupi.in.net/auth/node.js	(from https://getupi.in.net/assets/libs/feather-icons/dist/feather.min.js)
